Nombre de la carrera,area,Duracion
Ingenieria Ambiental,Biologia,9 Semestres
Ingenieria en Sistemas Computacionales,Informatica,9 Semestres
Ingenieria en Electronica,Electronica,9 Semestres
Ingenieria Quimica,Quimica,9 Semestres
Ingenieria Mecanica,Mecanica,9 Semestres
Ingenieria Bioquimica,Quimica,9 Semestres
Ingenieria Industrial ,Administracion,9 Semestres
Ingenieria Mecatronica,Mecanica,9 Semestres
Licenciatura en Administracion,Administracion,9 Semestres
Ingenieria en Informatica ,Informatica,9 Semestres
Ingenieria en Gestion Empresarial,Administracion,9 Semestres
